C1|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac6p	E	M	V	ResFinder	C1|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	V	
C1|aac(6')-Ib|aac6p-25_6|EMV|ResFinder|AY136758.1	aac6p	E	M	V	ResFinder	C1|aac(6')-Ib|aac6p-25_6|EMV|ResFinder|AY136758.1	V	
C1|aac(6')-30/aac(6')-Ib'|aac6p-8_1|EMV|ResFinder|AJ584652.1	aac6p	E	M	V	ResFinder	C1|aac(6')-30/aac(6')-Ib'|aac6p-8_1|EMV|ResFinder|AJ584652.1	V	
C1|aac(6')-Iaj|aac6p-21_1|ECV|ResFinder|AB709942.1	aac6p	E	C	V	ResFinder	C1|aac(6')-Iaj|aac6p-21_1|ECV|ResFinder|AB709942.1	V	
C1|aac(6')-Ian|aac6p-23_1|EMV|ResFinder|AP014611.1	aac6p	E	M	V	ResFinder	C1|aac(6')-Ian|aac6p-23_1|EMV|ResFinder|AP014611.1	V	
C1|aac(6')-Iak|aac6p-22_2|ECV|ResFinder|AB894482.1	aac6p	E	C	V	ResFinder	C1|aac(6')-Iak|aac6p-22_2|ECV|ResFinder|AB894482.1	V	
C1|aac(6')|aac6p-24_13|EMV|ResFinder|FJ503047.1	aac6p	E	M	V	ResFinder	C1|aac(6')|aac6p-24_13|EMV|ResFinder|FJ503047.1	V	
C1|aac(6')-Iid|aac6p-31_1|ECV|ResFinder|AJ584700.1	aac6p	E	C	V	ResFinder	C1|aac(6')-Iid|aac6p-31_1|ECV|ResFinder|AJ584700.1	V	
C1|aac(6')-Iih|aac6p-32_1|ECV|ResFinder|AJ584701.1	aac6p	E	C	V	ResFinder	C1|aac(6')-Iih|aac6p-32_1|ECV|ResFinder|AJ584701.1	V	
C1|aac(6')-Iz|aac6p-43_3|ECV|ResFinder|AB971834.1	aac6p	E	C	V	ResFinder	C1|aac(6')-Iz|aac6p-43_3|ECV|ResFinder|AB971834.1	V	
C1|aac(6')-29|aac6p-7_2|EMV|ResFinder|AF263519.1	aac6p	E	M	V	ResFinder	C1|aac(6')-29|aac6p-7_2|EMV|ResFinder|AF263519.1	V	
C1|aac(6')-29|aac6p-7_1|EMV|ResFinder|AF263519.1	aac6p	E	M	V	ResFinder	C1|aac(6')-29|aac6p-7_1|EMV|ResFinder|AF263519.1	V	
C1|aac(6')-I|aac6p-16_2|ECV|ResFinder|NC.003197	aac6p	E	C	V	ResFinder	C1|aac(6')-I|aac6p-16_2|ECV|ResFinder|NC.003197	V	
C1|aac(6')-I|aac6p-29_4|EMV|ResFinder|KT778788.1	aac6p	E	M	V	ResFinder	C1|aac(6')-I|aac6p-29_4|EMV|ResFinder|KT778788.1	V	
C1|aac(6')-I|aac6p-42_3|ECV|ResFinder|AF031332.1	aac6p	E	C	V	ResFinder	C1|aac(6')-I|aac6p-42_3|ECV|ResFinder|AF031332.1	V	
C1|aac(6')-Il|aac6p-35_1|EMV|ResFinder|U13880.1	aac6p	E	M	V	ResFinder	C1|aac(6')-Il|aac6p-35_1|EMV|ResFinder|U13880.1	V	
C1|aac(6')-Ia|aac6p-15_2|EMV|ResFinder|M86913.1	aac6p	E	M	V	ResFinder	C1|aac(6')-Ia|aac6p-15_2|EMV|ResFinder|M86913.1	V	
C1|aac(6')-Iag|aac6p-19_1|ECV|ResFinder|AB472901.1	aac6p	E	C	V	ResFinder	C1|aac(6')-Iag|aac6p-19_1|ECV|ResFinder|AB472901.1	V	
C1|aac(2')-IIa|aac2p-2_1|EMV|ResFinder|AB669090.1	aac2p	E	M	V	ResFinder	C1|aac(2')-IIa|aac2p-2_1|EMV|ResFinder|AB669090.1	V	
C1|kamB|unc-298_1|ECV|ResFinder|AJ629123.1	unc	E	C	V	ResFinder	C1|kamB|unc-298_1|ECV|ResFinder|AJ629123.1	V	
C1|grmO|unc-297_1|ECV|ResFinder|AY524043.1	unc	E	C	V	ResFinder	C1|grmO|unc-297_1|ECV|ResFinder|AY524043.1	V	
C1|fmrO|unc-289_1|ECV|ResFinder|Q08325.1	unc	E	C	V	ResFinder	C1|fmrO|unc-289_1|ECV|ResFinder|Q08325.1	V	
C1|grmB|unc-296_1|ECV|ResFinder|M55521.1	unc	E	C	V	ResFinder	C1|grmB|unc-296_1|ECV|ResFinder|M55521.1	V	
C1|grmA|unc-295_1|ECV|ResFinder|M55520.1	unc	E	C	V	ResFinder	C1|grmA|unc-295_1|ECV|ResFinder|M55520.1	V	
C1|kgmB|unc-299_1|ECV|ResFinder|S60108.1	unc	E	C	V	ResFinder	C1|kgmB|unc-299_1|ECV|ResFinder|S60108.1	V	
C1|sgm|unc-317_1|ECV|ResFinder|M87057.1	unc	E	C	V	ResFinder	C1|sgm|unc-317_1|ECV|ResFinder|M87057.1	V	
C1|aph(3')-VI|aph3p-14_4|EMV|ResFinder|APPJ01000012.1	aph3p	E	M	V	ResFinder	C1|aph(3')-VI|aph3p-14_4|EMV|ResFinder|APPJ01000012.1	V	
C1|aph(3')-IX|aph3p-8_1|EMV|ResFinder|APPN01000061.1	aph3p	E	M	V	ResFinder	C1|aph(3')-IX|aph3p-8_1|EMV|ResFinder|APPN01000061.1	V	
