C1|aac(6')-Ib|aac6p-25_4|ECV|ResFinder|M23634.1	aac6p	E	C	V	ResFinder	ResFinder-aac(6')-Ib_2_M23634_1
C1|aac(6')-30/aac(6')-Ib'|aac6p-8_1|ECV|ResFinder|AJ584652.1	aac6p	E	C	V	ResFinder	ResFinder-aac(6')-30-aac(6')-Ib'_1_AJ584652_1
C1|aac(6')-Ian|aac6p-23_1|ECV|ResFinder|AP014611.1	aac6p	E	C	V	ResFinder	ResFinder-aac(6')-Ian_1_AP014611_1
C1|aac(6')-Iak|aac6p-22_2|ECV|ResFinder|AB894482.1	aac6p	E	C	V	ResFinder	ResFinder-aac(6')-Iak_1_AB894482_1
C1|aac(6')-Iih|aac6p-32_1|ECV|ResFinder|AJ584701.1	aac6p	E	C	V	ResFinder	ResFinder-aac(6')-Iih_1_AJ584701_1
C1|aac(6')-29|aac6p-7_2|ECV|ResFinder|AF263519.1	aac6p	E	C	V	ResFinder	ResFinder-aac(6')-29b_1_AF263519_1
C1|aac(6')-I|aac6p-16_2|ECV|ResFinder|NC.003197	aac6p	E	C	V	ResFinder	ResFinder-aac(6')-Iaa_1_NC_003197_1
C1|aac(6')-I|aac6p-29_4|ECV|ResFinder|KT778788.1	aac6p	E	C	V	ResFinder	ResFinder-aac(6')-Ih_2_KT778788_1
C1|aac(6')-Il|aac6p-35_1|ECV|ResFinder|U13880.1	aac6p	E	C	V	ResFinder	ResFinder-aac(6')-Il_1_U13880_1
C1|aac(6')-Ia|aac6p-15_2|ECV|ResFinder|M86913.1	aac6p	E	C	V	ResFinder	ResFinder-aac(6')-Ia_2_M86913_1
C1|aac(6')-Iag|aac6p-19_1|ECV|ResFinder|AB472901.1	aac6p	E	C	V	ResFinder	ResFinder-aac(6')-Iag_1_AB472901_1
C1|aac(2')-IIa|aac2p-2_1|ECV|ResFinder|AB669090.1	aac2p	E	C	V	ResFinder	ResFinder-aac(2')-IIa_1_AB669090_1
C1|kamB|unc-298_1|ECV|ResFinder|AJ629123.1	unc	E	C	V	ResFinder	ResFinder-kamB_1_AJ629123_1
C1|grmO|unc-297_1|ECV|ResFinder|AY524043.1	unc	E	C	V	ResFinder	ResFinder-grmO_1_AY524043_1
C1|fmrO|unc-289_1|ECV|ResFinder|Q08325.1	unc	E	C	V	ResFinder	ResFinder-fmrO_1_Q08325_1
C1|grmB|unc-296_1|ECV|ResFinder|M55521.1	unc	E	C	V	ResFinder	ResFinder-grmB_1_M55521_1
C1|kgmB|unc-299_1|ECV|ResFinder|S60108.1	unc	E	C	V	ResFinder	ResFinder-kgmB_1_S60108_1
C1|aph(3')-VI|aph3p-14_4|ECV|ResFinder|APPJ01000012.1	aph3p	E	C	V	ResFinder	ResFinder-aph(3')-VI_2_APPJ01000012_1
C1|aph(3')-IX|aph3p-8_1|ECV|ResFinder|APPN01000061.1	aph3p	E	C	V	ResFinder	ResFinder-aph(3')-IX_1_APPN01000061_1
C1|ant(6)-Ia/aad(6)|ant-12_2|ECV|ResFinder|AB247327.1	ant	E	C	V	ResFinder	ResFinder-ant(6)-Ia_5_AB247327_1
C1|aph(2'')-Ib|aph2b-2_4|ECV|ResFinder|AF207840.1	aph2b	E	C	V	ResFinder	ResFinder-aph(2'')-Ib_2_AF207840_1
C1|aph(7'')-Ia|aph7b-1_2|ECV|ResFinder|X03615.1	aph7b	E	C	V	ResFinder	ResFinder-aph(7'')-Ia_1_X03615_1
C1|aph(6)-Ia|aph6-1_2|ECV|ResFinder|Y00459.1	aph6	E	C	V	ResFinder	ResFinder-aph(6)-Ia_2_Y00459_1
C1|aph(6)-Id|aph6-4_4|ECV|ResFinder|M28829.1	aph6	E	C	V	ResFinder	ResFinder-aph(6)-Id_1_M28829_1
C1|aph(3'')-Ia|aph3b-1_3|ECV|ResFinder|AP009493.1	aph3b	E	C	V	ResFinder	ResFinder-aph(3'')-Ia_2_AP009493_1
C1|aph(3'')-Ib|aph3b-2_6|ECV|ResFinder|M28829.1	aph3b	E	C	V	ResFinder	ResFinder-aph(3'')-Ib_1_M28829_1
C1|aadE-Cc|aad-16_1|ECV|ResFinder|CP013733.1	aad	E	C	V	ResFinder	ResFinder-aadE-Cc_1_CP013733_1
C1|ant(2'')-Ia|ant-5_19|ECV|ResFinder|JF826500.1	ant	E	C	V	ResFinder	ResFinder-ant(2'')-Ia_2_JF826500_1
C1|aph(3')-XV|aph3p-19_1|ECV|ResFinder|GQ626879.1	aph3p	E	C	V	ResFinder	ResFinder-aph(3')-XV_2_GQ626879_1
C1|aph(3')-III|aph3p-3_4|ECV|ResFinder|AF330699.1	aph3p	E	C	V	ResFinder	ResFinder-aph(3')-IIIa_1_AF330699_1
C1|aph(3')-Va|aph3p-15_2|ECV|ResFinder|AB211959.1	aph3p	E	C	V	ResFinder	ResFinder-aph(3')-Va_2_AB211959_1
C1|aph(3')-IIa|aph3p-4_2|ECV|ResFinder|V00618.1	aph3p	E	C	V	ResFinder	ResFinder-aph(3')-IIa_2_V00618_1
C1|aph(3')-IIb|aph3p-5_2|ECV|ResFinder|CP006832.1	aph3p	E	C	V	ResFinder	ResFinder-aph(3')-IIb_2_CP006832_1
C1|aph(3')-Ia|aph3p-9_10|ECV|ResFinder|EU287476.1	aph3p	E	C	V	ResFinder	ResFinder-aph(3')-Ia_2_EU287476_1
